created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-04-15 08:01:07 UTC,1,,2,,,,
2021-04-15 08:02:07 UTC,2,4,,,,,
2021-04-15 08:03:07 UTC,3,,1344,,,,
2021-04-15 08:04:07 UTC,4,403,,,,,
2021-04-15 08:05:07 UTC,5,,14,,,,
2021-04-15 08:06:07 UTC,6,,638,,,,
2021-04-15 08:07:07 UTC,7,,14,,,,
2021-04-15 08:08:07 UTC,8,,11,,,,
2021-04-15 08:09:07 UTC,9,21,,,,,
2021-04-15 08:10:07 UTC,10,66,,,,,
2021-04-15 08:11:07 UTC,11,66,,,,,
2021-04-15 08:12:07 UTC,12,,60,,,,
2021-04-15 08:13:07 UTC,13,,11,,,,
2021-04-15 08:14:07 UTC,14,66,,,,,
2021-04-15 08:15:07 UTC,15,,559,,,,
2021-04-15 08:16:07 UTC,16,764,,,,,
2021-04-15 08:17:07 UTC,17,32,,,,,
2021-04-15 08:18:07 UTC,18,32,,,,,
2021-04-15 08:19:07 UTC,19,,30,,,,
2021-04-15 08:20:07 UTC,20,36,,,,,
2021-04-15 08:21:07 UTC,21,36,,,,,
2021-04-15 08:22:07 UTC,22,,42,,,,
2021-04-15 08:23:07 UTC,23,5,,,,,
2021-04-15 08:24:07 UTC,24,66,,,,,
2021-04-15 08:25:07 UTC,25,,20,,,,
2021-04-15 08:26:07 UTC,26,,3162,,,,
2021-04-15 08:27:07 UTC,27,,14,,,,
2021-04-15 08:28:07 UTC,28,,195,,,,
2021-04-15 08:29:07 UTC,29,1747,,,,,
2021-04-15 08:30:07 UTC,30,,2,,,,
2021-04-15 08:31:07 UTC,31,,2501,,,,
2021-04-15 08:32:07 UTC,32,4,,,,,
2021-04-15 08:33:07 UTC,33,,14,,,,
2021-04-15 08:34:07 UTC,34,,15,,,,
2021-04-15 08:35:07 UTC,35,,3162,,,,
2021-04-15 08:36:07 UTC,36,,3162,,,,
2021-04-15 08:37:07 UTC,37,,1,,,,
2021-04-15 08:38:07 UTC,38,,1,,,,
2021-04-15 08:39:07 UTC,39,,39,,,,
2021-04-15 08:40:07 UTC,40,31,,,,,
2021-04-15 08:41:07 UTC,41,,14,,,,
2021-04-15 08:42:07 UTC,42,,21,,,,
2021-04-15 08:43:07 UTC,43,,1344,,,,
2021-04-15 08:44:07 UTC,44,764,,,,,
2021-04-15 08:45:07 UTC,45,,1344,,,,
2021-04-15 08:46:07 UTC,46,,20,,,,
2021-04-15 08:47:07 UTC,47,,39,,,,
2021-04-15 08:48:07 UTC,48,14,,,,,
2021-04-15 08:49:07 UTC,49,2010,,,,,
2021-04-15 08:50:07 UTC,50,1380,,,,,
